year,problem,paper,evidence_type,section,category,page,line,confidence,model_chain,writing_feature,source_text,snippet,original_position
2020,A,A070,section_heading,参考文献,参考文献,25,15,0.827124,微分方程@p1 -> 有限元@p1 -> 有限差分@p1 -> 多目标@p1 -> 模拟退火@p1 -> 0-1@p3 -> 守恒@p7,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,9参考文献,100 / 200 / 9参考文献 / 中国大学生在线 / 中国大学生在线,2020/A070.pdf#page=25:line=15
2020,A,A147,paper_overview,,论文总览,1,1,0.720461,微分方程@p1 -> 多目标@p1 -> 守恒@p3 -> 0-1@p13 -> ODE@p21,连接词=首先:8、其次:5、说明:3、验证:1、因此:2；页行中位数=47；段落候选中位数=0；图表候选=18；公式行候选=1272；标题候选=70,中国大学生仕,中国大学生仕 / 中国大学生仕 / 中国大学生在,2020/A147.pdf#page=1:line=1
2020,A,A147,section_heading,摘要,摘要,1,5,0.666082,微分方程@p1 -> 多目标@p1 -> 守恒@p3 -> 0-1@p13 -> ODE@p21,连接词=首先:8、其次:5、说明:3、验证:1、因此:2；页行中位数=47；段落候选中位数=0；图表候选=18；公式行候选=1272；标题候选=70,摘要,中国大学生在 / 基于一维热传导方程的炉温曲线机理模型研究 / 摘要 / 回焊炉通过加热，将电子元件自动焊接到电路板上，在集成电路板等电子产 / 品的生产中具有广泛的应用。本文主要研究回焊炉焊接中心的炉温曲线，建立了,2020/A147.pdf#page=1:line=5
2020,A,A147,section_heading,问题重述,问题重述,2,1,0.917669,微分方程@p1 -> 多目标@p1 -> 守恒@p3 -> 0-1@p13 -> ODE@p21,连接词=首先:8、其次:5、说明:3、验证:1、因此:2；页行中位数=47；段落候选中位数=0；图表候选=18；公式行候选=1272；标题候选=70,一 \ 问题 重 述,"一 \ 问题 重 述 / 在 某 些 电子 产品 ,如 集成 电路 板 的 生产 过 程 中 , 存在 将 各 种 电子 元 器 件 通过 / 回 香炉 的 焊接 技术 ， 安 装 至 电路 板 上 的 环节 。 通 过 加 热 印 刷 电 路 板 与 电子 元 件 ，",2020/A147.pdf#page=2:line=1
2020,A,A147,section_heading,问题分析,问题分析,3,32,0.768822,微分方程@p1 -> 多目标@p1 -> 守恒@p3 -> 0-1@p13 -> ODE@p21,连接词=首先:8、其次:5、说明:3、验证:1、因此:2；页行中位数=47；段落候选中位数=0；图表候选=18；公式行候选=1272；标题候选=70,问题分析,学生在线 / 中国 / 问题分析 / 2.1问题一分析 / 对于问题一，需要建立焊接处中心的温度分布数学模型以求解。,2020/A147.pdf#page=3:line=32
2020,A,A147,section_heading,符号说明,符号说明,4,32,0.93211,微分方程@p1 -> 多目标@p1 -> 守恒@p3 -> 0-1@p13 -> ODE@p21,连接词=首先:8、其次:5、说明:3、验证:1、因此:2；页行中位数=47；段落候选中位数=0；图表候选=18；公式行候选=1272；标题候选=70,四 、 符号 说 明 及 名 词 解释,2 假设 温度 传导 只 在 焊接 区 域 的 竖 直 方向 进行 / 3 假设 电路 板 进入 回 焊 炉 时 ， 回 香炉 内 的 温度 已 经 达到 稳定 / 四 、 符号 说 明 及 名 词 解释 / 4.1 符号 说 明 / po 回 焊 炉 上 的 点 与 炉 前 区 域 左 边缘 的 距离,2020/A147.pdf#page=4:line=32
2020,A,A147,section_heading,模型建立,模型建立,3,35,0.937771,微分方程@p1 -> 多目标@p1 -> 守恒@p3 -> 0-1@p13 -> ODE@p21,连接词=首先:8、其次:5、说明:3、验证:1、因此:2；页行中位数=47；段落候选中位数=0；图表候选=18；公式行候选=1272；标题候选=70,基于热传导方程，建立回焊炉各点处的温度分布模型。在模型建立前，首先,2.1问题一分析 / 对于问题一，需要建立焊接处中心的温度分布数学模型以求解。 / 基于热传导方程，建立回焊炉各点处的温度分布模型。在模型建立前，首先 / 需要借助物理实验中的基本结果与能量守恒定律推导出热传导方程。 / 其次，借助热传导方程与牛顿冷却定律，建立焊接处内部各点的温度传递模,2020/A147.pdf#page=3:line=35
2020,A,A147,section_heading,模型求解,模型求解,12,19,0.718228,微分方程@p1 -> 多目标@p1 -> 守恒@p3 -> 0-1@p13 -> ODE@p21,连接词=首先:8、其次:5、说明:3、验证:1、因此:2；页行中位数=47；段落候选中位数=0；图表候选=18；公式行候选=1272；标题候选=70,5.1.7 ”模型 求解,"du C17) / AR =h, (Uy — Un) / 5.1.7 ”模型 求解 / 本 文采 用 有 限 差 分 法 : 将 连续 的 定 解 区 域 用 有 限 个 离散 点 构成 的 网 格 来 代替 ; / 把 定 解 区 域 上 的 连续 变量 的 函数 用 网 格 上 定义 的 离散 变量 的 函数 来 近似 ; 把 原 方",2020/A147.pdf#page=12:line=19
2020,A,A147,section_heading,结果分析,结果分析,15,26,0.96724,微分方程@p1 -> 多目标@p1 -> 守恒@p3 -> 0-1@p13 -> ODE@p21,连接词=首先:8、其次:5、说明:3、验证:1、因此:2；页行中位数=47；段落候选中位数=0；图表候选=18；公式行候选=1272；标题候选=70,求解 结果,"在 该 参数 组 合 下 ，R2 = 0.9813,， 拟 合 结果 较 好 。 则 可 将 该 组 合 的 参数 代入 模 / 型 中 。 / 求解 结果 / 将 问题 一 题 干 所 给 的 各 个 温 区 温度 分 布 带 入 上 述 模型 ， 得 到 结果 如 下 : / 炉 温 曲线 图 ，",2020/A147.pdf#page=15:line=26
2020,A,A147,section_heading,灵敏度分析,灵敏度分析,16,11,0.927904,微分方程@p1 -> 多目标@p1 -> 守恒@p3 -> 0-1@p13 -> ODE@p21,连接词=首先:8、其次:5、说明:3、验证:1、因此:2；页行中位数=47；段落候选中位数=0；图表候选=18；公式行候选=1272；标题候选=70,5.1.10 模型 分 析 : 灵敏 度 分 析,小 温 区 8 结束 处 223.1558 / 每 隔 0.$ s 焊接 区 域 中 心 的 温度 已 存放 在 result.csv 中 。 / 5.1.10 模型 分 析 : 灵敏 度 分 析 / 对 四 个 变量 进行 灵敏 度 分 析 ， 结 果 如 下 图 : / f-A 曲 线 和 8B1 曲 线,2020/A147.pdf#page=16:line=11
2020,A,A147,section_heading,模型评价,模型评价,25,9,0.944396,微分方程@p1 -> 多目标@p1 -> 守恒@p3 -> 0-1@p13 -> ODE@p21,连接词=首先:8、其次:5、说明:3、验证:1、因此:2；页行中位数=47；段落候选中位数=0；图表候选=18；公式行候选=1272；标题候选=70,六 、 ”模型 评价 与 推广,a 区 1-5) &6) 区 7) &8-9) 10-11) / 1 183 197 240 264 25 94 0.99386 / 六 、 ”模型 评价 与 推广 / 模型 评价 / 模型 优点,2020/A147.pdf#page=25:line=9
2020,A,A147,section_heading,参考文献,参考文献,26,4,0.767362,微分方程@p1 -> 多目标@p1 -> 守恒@p3 -> 0-1@p13 -> ODE@p21,连接词=首先:8、其次:5、说明:3、验证:1、因此:2；页行中位数=47；段落候选中位数=0；图表候选=18；公式行候选=1272；标题候选=70,参考文献,"中国大学生任药 / 中国大学生仕药 / 参考文献 / [1]刘志华，刘瑞金．牛顿冷却定律的冷却规律研究[J]．山东理工大学学报(自 / 然科学版),2005，19(6):23-27",2020/A147.pdf#page=26:line=4
2020,A,A147,section_heading,附录,附录,27,4,0.505906,微分方程@p1 -> 多目标@p1 -> 守恒@p3 -> 0-1@p13 -> ODE@p21,连接词=首先:8、其次:5、说明:3、验证:1、因此:2；页行中位数=47；段落候选中位数=0；图表候选=18；公式行候选=1272；标题候选=70,附录,中国大学生任药 / 中国大学生仕统 / 附录 / 支撑材料列表 / 调试代码,2020/A147.pdf#page=27:line=4
2020,A,A195,paper_overview,,论文总览,1,1,0.8978,有限差分@p1 -> 多目标@p1 -> 遗传算法@p1 -> PDE@p8 -> 偏微分方程@p8 -> 微分方程@p8 -> 有限元@p8 -> ODE@p13 -> 线性规划@p20 -> 非线性规划@p20 -> 0-1@p34,连接词=首先:1、进一步:1、为了:1、从而:1、因此:5；页行中位数=38.0；段落候选中位数=3.0；图表候选=21；公式行候选=428；标题候选=59,基于一维热传导方程的回焊炉炉温模型,基于一维热传导方程的回焊炉炉温模型 / 中国大学生仕统 / 中国大学生在,2020/A195.pdf#page=1:line=1
2020,A,A195,section_heading,摘要,摘要,1,4,0.664643,有限差分@p1 -> 多目标@p1 -> 遗传算法@p1 -> PDE@p8 -> 偏微分方程@p8 -> 微分方程@p8 -> 有限元@p8 -> ODE@p13 -> 线性规划@p20 -> 非线性规划@p20 -> 0-1@p34,连接词=首先:1、进一步:1、为了:1、从而:1、因此:5；页行中位数=38.0；段落候选中位数=3.0；图表候选=21；公式行候选=428；标题候选=59,摘要,中国大学生仕统 / 中国大学生在 / 摘要 / 如何建立温度变化模型准确描述回焊炉工作过程，保证电路板焊接过程顺利进行，是实际生产 / 环节面临的一大问题。本文结合实际情况对回焊炉工作状态作出合理假设，建立炉内温度一维热传,2020/A195.pdf#page=1:line=4
2020,A,A195,section_heading,问题重述,问题重述,2,1,0.822744,有限差分@p1 -> 多目标@p1 -> 遗传算法@p1 -> PDE@p8 -> 偏微分方程@p8 -> 微分方程@p8 -> 有限元@p8 -> ODE@p13 -> 线性规划@p20 -> 非线性规划@p20 -> 0-1@p34,连接词=首先:1、进一步:1、为了:1、从而:1、因此:5；页行中位数=38.0；段落候选中位数=3.0；图表候选=21；公式行候选=428；标题候选=59,中1问题重述,中1问题重述 / 中国大学生仕练 / 中国大学生在,2020/A195.pdf#page=2:line=1
2020,A,A195,section_heading,问题分析,问题分析,4,27,0.859097,有限差分@p1 -> 多目标@p1 -> 遗传算法@p1 -> PDE@p8 -> 偏微分方程@p8 -> 微分方程@p8 -> 有限元@p8 -> ODE@p13 -> 线性规划@p20 -> 非线性规划@p20 -> 0-1@p34,连接词=首先:1、进一步:1、为了:1、从而:1、因此:5；页行中位数=38.0；段落候选中位数=3.0；图表候选=21；公式行候选=428；标题候选=59,4 问题 分 析,"D; 大 温 区 编号 让 = 1,2,...5) / 表 2: 符号 说 明 / 4 问题 分 析 / 4.1 问题 一 分 析 / 问题 一 需要 结合 回 焊 炉 工作 参数 ,建立 一 维 热传导 方程 模型 计算 焊接 区 域 中 心 点 处 温度 变化 -四 。",2020/A195.pdf#page=4:line=27
2020,A,A195,section_heading,模型假设,模型假设,3,20,0.865475,有限差分@p1 -> 多目标@p1 -> 遗传算法@p1 -> PDE@p8 -> 偏微分方程@p8 -> 微分方程@p8 -> 有限元@p8 -> ODE@p13 -> 线性规划@p20 -> 非线性规划@p20 -> 0-1@p34,连接词=首先:1、进一步:1、为了:1、从而:1、因此:5；页行中位数=38.0；段落候选中位数=3.0；图表候选=21；公式行候选=428；标题候选=59,2 模型 假设,对 称 。 要 求 在 问题 3 的 基础 上 ， 进 一 步 给 出 最 优 炉 温 曲线 ， 以 及 各 温 区 设 定 的 温度 及 传送 带 过 炉 / 速度 ， 并 给 出 相应 的 指标 值 。 / 2 模型 假设 / 1. 仅 考 虑 热传导 和 热 对流 对 元 件 焊 接 区 域 中 心 温度 的 影响 / 2. 假设 元 件 在 回 香炉 中 运动 过 程 不 影响 炉 腔 内 温度 分 布,2020/A195.pdf#page=3:line=20
2020,A,A195,section_heading,符号说明,符号说明,3,25,0.756006,有限差分@p1 -> 多目标@p1 -> 遗传算法@p1 -> PDE@p8 -> 偏微分方程@p8 -> 微分方程@p8 -> 有限元@p8 -> ODE@p13 -> 线性规划@p20 -> 非线性规划@p20 -> 0-1@p34,连接词=首先:1、进一步:1、为了:1、从而:1、因此:5；页行中位数=38.0；段落候选中位数=3.0；图表候选=21；公式行候选=428；标题候选=59,3 ”符号 说 明,"3. 假设 各 个 小 温 区 中 心 保 持 恒温 , 回 焊 炉 达 到 稳定 工作 状态 后 温度 分 布 不 再 改变 / 4. 假设 元 件 为 材质 处 处 均匀 的 带 厚 度 无 限 大 平板 , 内 部 不 含 热源 / 3 ”符号 说 明 / 表 2 列 出 了 本 文 需要 的 符号 。 / Gye 关注 数学 模型",2020/A195.pdf#page=3:line=25
2020,A,A195,section_heading,模型建立,模型建立,6,7,0.614407,有限差分@p1 -> 多目标@p1 -> 遗传算法@p1 -> PDE@p8 -> 偏微分方程@p8 -> 微分方程@p8 -> 有限元@p8 -> ODE@p13 -> 线性规划@p20 -> 非线性规划@p20 -> 0-1@p34,连接词=首先:1、进一步:1、为了:1、从而:1、因此:5；页行中位数=38.0；段落候选中位数=3.0；图表候选=21；公式行候选=428；标题候选=59,5 模型 建立,多 目标 非 线 性 规划 问题 ， 通 常 有 线性 加 权 法 、 分 层 求解 法 等 解法 。 在 本 文中 ， 我 们 拟 采用 分 层 序列 法 / 进行 规划 求解 。 / 5 模型 建立 / 假设 进入 回 焊 炉 前 元 件 均 为 室温 ， 并 且 进入 炉 中 的 任意 时 刻 均 可 以 看 作 无 限 大 带 厚度 均匀 材质 平 / 板 ， 它 通过 上 下 表面 与 温 区 进行 对 流 换 热 二 胡 图 4 所 示 :,2020/A195.pdf#page=6:line=7
2020,A,A195,section_heading,模型求解,模型求解,1,14,0.877567,有限差分@p1 -> 多目标@p1 -> 遗传算法@p1 -> PDE@p8 -> 偏微分方程@p8 -> 微分方程@p8 -> 有限元@p8 -> ODE@p13 -> 线性规划@p20 -> 非线性规划@p20 -> 0-1@p34,连接词=首先:1、进一步:1、为了:1、从而:1、因此:5；页行中位数=38.0；段落候选中位数=3.0；图表候选=21；公式行候选=428；标题候选=59,数值解，并根据附件提供的实际炉温曲线分段拟合方程中α，k，h参数。为简化模型求解，假设各,"程组描述元件与炉腔热传导过程，得出元件温度分布函数T=T(，t)。利用有限差分法求得方程 / 学生在线 / 数值解，并根据附件提供的实际炉温曲线分段拟合方程中α，k，h参数。为简化模型求解，假设各 / 温区参数ki,h相等，仅考虑参数αi的不同，得出模型最优参数为：h=14.458W/(m².K)， / 中国大学",2020/A195.pdf#page=1:line=14
2020,A,A195,section_heading,模型检验,模型检验,9,21,0.930804,有限差分@p1 -> 多目标@p1 -> 遗传算法@p1 -> PDE@p8 -> 偏微分方程@p8 -> 微分方程@p8 -> 有限元@p8 -> ODE@p13 -> 线性规划@p20 -> 非线性规划@p20 -> 0-1@p34,连接词=首先:1、进一步:1、为了:1、从而:1、因此:5；页行中位数=38.0；段落候选中位数=3.0；图表候选=21；公式行候选=428；标题候选=59,将 理论 计算 出 的 温度 曲线 与 实际 温度 分 布 进行 误差 分 析 后 ， 发 现 其 拟 合 效果 较 好 ， 如 下 图 所 示 :,同 理 我 们 可 以 求 出 灵 = 14.458 W/n2 .K) 以 及 / a= [4.437 5.621 7.449 4.997 2.401 x 1071! m?/s / 将 理论 计算 出 的 温度 曲线 与 实际 温度 分 布 进行 误差 分 析 后 ， 发 现 其 拟 合 效果 较 好 ， 如 下 图 所 示 : / 9 Ri 获取 更 多 资讯 / pee,2020/A195.pdf#page=9:line=21
2020,A,A195,section_heading,参考文献,参考文献,21,2,0.797908,有限差分@p1 -> 多目标@p1 -> 遗传算法@p1 -> PDE@p8 -> 偏微分方程@p8 -> 微分方程@p8 -> 有限元@p8 -> ODE@p13 -> 线性规划@p20 -> 非线性规划@p20 -> 0-1@p34,连接词=首先:1、进一步:1、为了:1、从而:1、因此:5；页行中位数=38.0；段落候选中位数=3.0；图表候选=21；公式行候选=428；标题候选=59,参考文献,同大学生任线 / 参考文献 / 中国大学生仕药 / 中国大学生仕药,2020/A195.pdf#page=21:line=2
2020,A,A195,section_heading,附录,附录,22,1,0.964464,有限差分@p1 -> 多目标@p1 -> 遗传算法@p1 -> PDE@p8 -> 偏微分方程@p8 -> 微分方程@p8 -> 有限元@p8 -> ODE@p13 -> 线性规划@p20 -> 非线性规划@p20 -> 0-1@p34,连接词=首先:1、进一步:1、为了:1、从而:1、因此:5；页行中位数=38.0；段落候选中位数=3.0；图表候选=21；公式行候选=428；标题候选=59,附录,附录 / A 环境 温度 计算 / 1 |% 温 区 温度 设置 函数,2020/A195.pdf#page=22:line=1
2020,A,A212,paper_overview,,论文总览,1,1,0.777584,守恒@p1 -> 微分方程@p1 -> 多目标@p1 -> 模拟退火@p1 -> 线性规划@p1 -> 非线性规划@p1,连接词=首先:7、进一步:2、由此:1、说明:2、为了:2、从而:8、因此:3；页行中位数=48.5；段落候选中位数=6.0；图表候选=14；公式行候选=286；标题候选=50,中国大学生在,中国大学生在 / 中国大学生仕 / 中国大学生在,2020/A212.pdf#page=1:line=1
2020,A,A212,section_heading,摘要,摘要,1,5,0.665684,守恒@p1 -> 微分方程@p1 -> 多目标@p1 -> 模拟退火@p1 -> 线性规划@p1 -> 非线性规划@p1,连接词=首先:7、进一步:2、由此:1、说明:2、为了:2、从而:8、因此:3；页行中位数=48.5；段落候选中位数=6.0；图表候选=14；公式行候选=286；标题候选=50,摘要,中国大学生在 / 回焊炉温曲线优化控制 / 摘要 / 回焊炉通过设置各个温区的温度，加热集成电路板，能够将电子元件自动焊接到板 / 子上，在表面贴装工艺技术中起到关键作用。回焊中的焊接区域中心温度变化对产品质,2020/A212.pdf#page=1:line=5
2020,A,A212,section_heading,问题重述,问题重述,2,4,0.825298,守恒@p1 -> 微分方程@p1 -> 多目标@p1 -> 模拟退火@p1 -> 线性规划@p1 -> 非线性规划@p1,连接词=首先:7、进一步:2、由此:1、说明:2、为了:2、从而:8、因此:3；页行中位数=48.5；段落候选中位数=6.0；图表候选=14；公式行候选=286；标题候选=50,一、问题重述,中国大学生在 / 中国大学生在 / 一、问题重述 / 电子信息产业在我国发展迅速，促进了表面贴装工艺（SMT）的技术进步。在集成 / 电路板的生产过程中，要将安装有各种电子元器件的印刷电路板放入回焊炉中进行回流,2020/A212.pdf#page=2:line=4
2020,A,A212,section_heading,问题分析,问题分析,3,4,0.750171,守恒@p1 -> 微分方程@p1 -> 多目标@p1 -> 模拟退火@p1 -> 线性规划@p1 -> 非线性规划@p1,连接词=首先:7、进一步:2、由此:1、说明:2、为了:2、从而:8、因此:3；页行中位数=48.5；段落候选中位数=6.0；图表候选=14；公式行候选=286；标题候选=50,二、问题分析,中国大学生在 / 中国大学生在 / 二、问题分析 / 2.1问题一的分析 / 对于问题一，我们需要首先根据题目中给出的各个小温区的设定温度值，来计算稳,2020/A212.pdf#page=3:line=4
2020,A,A212,section_heading,模型假设,模型假设,4,13,0.793565,守恒@p1 -> 微分方程@p1 -> 多目标@p1 -> 模拟退火@p1 -> 线性规划@p1 -> 非线性规划@p1,连接词=首先:7、进一步:2、由此:1、说明:2、为了:2、从而:8、因此:3；页行中位数=48.5；段落候选中位数=6.0；图表候选=14；公式行候选=286；标题候选=50,三、模型假设,速度为变量，同样使用模拟退火算法来进行求解。 / 生在线 / 三、模型假设 / 国大学生在线 / 中国大学生在,2020/A212.pdf#page=4:line=13
2020,A,A212,section_heading,符号说明,符号说明,4,24,0.912428,守恒@p1 -> 微分方程@p1 -> 多目标@p1 -> 模拟退火@p1 -> 线性规划@p1 -> 非线性规划@p1,连接词=首先:7、进一步:2、由此:1、说明:2、为了:2、从而:8、因此:3；页行中位数=48.5；段落候选中位数=6.0；图表候选=14；公式行候选=286；标题候选=50,四、符号说明及名词定义,4、假设在温度变化不大的情况下热时间常数和热空气和电路板间的热对流系数均 / 保持不变。 / 四、符号说明及名词定义 / 中国大学生在线 / 符号,2020/A212.pdf#page=4:line=24
