group,branch,algorithm_or_model,owner,report_line,report_evidence,status
数据前处理与探索,插值拟合,Kriging 插值,组员2,304,三次样条和 Kriging 插值。PCA 用于线性方差压缩，t-SNE 主要用于局部结构可视化，,已覆盖
数据前处理与探索,降维算法,PCA,组员2,304,三次样条和 Kriging 插值。PCA 用于线性方差压缩，t-SNE 主要用于局部结构可视化，,已覆盖
数据前处理与探索,降维算法,t-SNE,组员2,304,三次样条和 Kriging 插值。PCA 用于线性方差压缩，t-SNE 主要用于局部结构可视化，,已覆盖
数据前处理与探索,降维算法,UMAP,组员2,305,UMAP 兼顾局部与部分全局结构；后两者的二维图不直接充当预测证据。,已覆盖
数据前处理与探索,样本筛选,Monte Carlo 随机抽样,组员2/组员1交叉,299,Monte Carlo 随机抽样时，须固定种子，记录抽样分布并核对覆盖率；它与组员1,已覆盖
机理分析法,动力学模型,Newton 运动定律,队长,174,队长的模型链从守恒关系开始，而不是从求解器开始。机械系统用牛顿第二定律、,已覆盖
机理分析法,动力学模型,弹簧阻尼振动,队长,175,刚体平衡、重力、摩擦和弹簧—阻尼关系建立状态方程；流体问题用质量守恒和,已覆盖
机理分析法,种群模型,Logistic 增长,队长,178,及多孔介质渗流按偏微分方程处理。人口过程用 Logistic 方程和捕食—被捕食模型，,已覆盖
机理分析法,种群模型,捕食者-猎物模型,队长,178,及多孔介质渗流按偏微分方程处理。人口过程用 Logistic 方程和捕食—被捕食模型，,已覆盖
机理分析法,传热/冷却模型,Newton 冷却定律,队长,177,气体过程核对理想气体状态关系。传热采用 Newton 冷却或热传导方程，波动、扩散,已覆盖
机理分析法,药物与传播,药物代谢,队长,179,药物过程使用房室代谢方程，传播过程比较 SIR 与 SIS 的恢复机制。,已覆盖
机理分析法,药物与传播,SIR,队长,220,\item Logistic、捕食—被捕食、SIR/SIS、药物房室、Newton 冷却模块；,已覆盖
机理分析法,药物与传播,SIS,队长,220,\item Logistic、捕食—被捕食、SIR/SIS、药物房室、Newton 冷却模块；,已覆盖
机理分析法,PDE,热传导方程,队长,177,气体过程核对理想气体状态关系。传热采用 Newton 冷却或热传导方程，波动、扩散,已覆盖
机理分析法,PDE,波动方程,队长,177,气体过程核对理想气体状态关系。传热采用 Newton 冷却或热传导方程，波动、扩散,已覆盖
机理分析法,PDE,扩散方程,队长,177,气体过程核对理想气体状态关系。传热采用 Newton 冷却或热传导方程，波动、扩散,已覆盖
机理分析法,PDE,流体渗流,队长,178,及多孔介质渗流按偏微分方程处理。人口过程用 Logistic 方程和捕食—被捕食模型，,已覆盖
经典物理机理,力学,刚体平衡,队长,175,刚体平衡、重力、摩擦和弹簧—阻尼关系建立状态方程；流体问题用质量守恒和,已覆盖
经典物理机理,力学,摩擦力,队长,175,刚体平衡、重力、摩擦和弹簧—阻尼关系建立状态方程；流体问题用质量守恒和,已覆盖
经典物理机理,力学,万有引力,队长,175,刚体平衡、重力、摩擦和弹簧—阻尼关系建立状态方程；流体问题用质量守恒和,已覆盖
经典物理机理,电学,Ohm 定律,队长,176,Bernoulli 关系闭合；电路问题用 Ohm 定律和 Kirchhoff 定律组织节点或回路方程；,已覆盖
经典物理机理,电学,Kirchhoff 电路模型,队长,176,Bernoulli 关系闭合；电路问题用 Ohm 定律和 Kirchhoff 定律组织节点或回路方程；,已覆盖
经典物理机理,流体,Bernoulli 方程,队长,176,Bernoulli 关系闭合；电路问题用 Ohm 定律和 Kirchhoff 定律组织节点或回路方程；,已覆盖
经典物理机理,流体,流量/质量守恒,队长,175,刚体平衡、重力、摩擦和弹簧—阻尼关系建立状态方程；流体问题用质量守恒和,已覆盖
经典物理机理,热力学,理想气体状态方程,队长,177,气体过程核对理想气体状态关系。传热采用 Newton 冷却或热传导方程，波动、扩散,已覆盖
机理模型求解,数值积分,Euler 法,队长,187,\item 对 ODE 比较显式 Euler 与四阶 Runge--Kutta，对 PDE 按网格选择有限差分或有限元；,已覆盖
机理模型求解,数值积分,RK4,队长,162,物理模型、RK4、有限差分、有限元、模型验证和代码集成；组员1主责规划、整数和,已覆盖
机理模型求解,空间离散,FDM,队长,221,\item 热、波、扩散和多孔流方程的 FDM 基线及 FEM 对照；,已覆盖
机理模型求解,空间离散,FEM,队长,221,\item 热、波、扩散和多孔流方程的 FDM 基线及 FEM 对照；,已覆盖
评价与决策,主观评价,AHP,组员2,307,评价决策链覆盖 AHP、模糊综合评价、模糊 AHP、灰色关联、PCA、因子分析、熵权、,已覆盖
评价与决策,主观评价,模糊综合评价,组员2,307,评价决策链覆盖 AHP、模糊综合评价、模糊 AHP、灰色关联、PCA、因子分析、熵权、,已覆盖
评价与决策,主观评价,FAHP,组员2,356,\item AHP/FAHP、熵权、CRITIC、灰色关联、TOPSIS、VIKOR、物元可拓和组合评价；,已覆盖
评价与决策,客观评价,灰色关联分析,组员2,307,评价决策链覆盖 AHP、模糊综合评价、模糊 AHP、灰色关联、PCA、因子分析、熵权、,已覆盖
评价与决策,客观评价,PCA,组员2,304,三次样条和 Kriging 插值。PCA 用于线性方差压缩，t-SNE 主要用于局部结构可视化，,已覆盖
评价与决策,客观评价,因子分析,组员2,307,评价决策链覆盖 AHP、模糊综合评价、模糊 AHP、灰色关联、PCA、因子分析、熵权、,已覆盖
评价与决策,客观权重,熵权法,组员2,307,评价决策链覆盖 AHP、模糊综合评价、模糊 AHP、灰色关联、PCA、因子分析、熵权、,已覆盖
评价与决策,客观权重,CRITIC 权重法,组员2,308,CRITIC、变异系数、TOPSIS、VIKOR、灰色评价和物元可拓，并训练熵权--AHP、,已覆盖
评价与决策,客观权重,变异系数法,组员2,308,CRITIC、变异系数、TOPSIS、VIKOR、灰色评价和物元可拓，并训练熵权--AHP、,已覆盖
评价与决策,综合评价,TOPSIS,组员2,308,CRITIC、变异系数、TOPSIS、VIKOR、灰色评价和物元可拓，并训练熵权--AHP、,已覆盖
评价与决策,综合评价,VIKOR,组员2,308,CRITIC、变异系数、TOPSIS、VIKOR、灰色评价和物元可拓，并训练熵权--AHP、,已覆盖
评价与决策,综合评价,灰色综合评价,组员2,708,综合评价 & TOPSIS、VIKOR、灰色综合评价、物元可拓、熵权--AHP、CRITIC--TOPSIS & 组员2 & 方法语义、基线排序和扰动对照\\,已覆盖
评价与决策,综合评价,物元可拓模型,组员2,308,CRITIC、变异系数、TOPSIS、VIKOR、灰色评价和物元可拓，并训练熵权--AHP、,已覆盖
评价与决策,组合赋权,熵权-AHP,组员2,308,CRITIC、变异系数、TOPSIS、VIKOR、灰色评价和物元可拓，并训练熵权--AHP、,已覆盖
评价与决策,组合赋权,CRITIC-TOPSIS,组员2,309,CRITIC--TOPSIS 等组合。主观权重必须给判断矩阵和一致性检验，客观权重必须解释,已覆盖
优化模型,规划分类,线性规划,组员1,231,规划模型先按变量和约束结构分类：连续线性规划、非线性规划、二次规划、整数,已覆盖
优化模型,规划分类,非线性规划,组员1,231,规划模型先按变量和约束结构分类：连续线性规划、非线性规划、二次规划、整数,已覆盖
优化模型,规划分类,二次规划,组员1,231,规划模型先按变量和约束结构分类：连续线性规划、非线性规划、二次规划、整数,已覆盖
优化模型,规划分类,整数规划,组员1,234,顺序和分配时，必须写出 Big-M 的来源或改用指示约束，不能以取整替代整数规划。,已覆盖
优化模型,规划分类,混合整数规划,组员1,232,规划、混合整数线性规划和 0--1 规划；再区分单目标与多目标、确定性与随机性。,已覆盖
优化模型,规划分类,0-1 规划,组员1,232,规划、混合整数线性规划和 0--1 规划；再区分单目标与多目标、确定性与随机性。,已覆盖
优化模型,目标分类,单目标规划,组员1,232,规划、混合整数线性规划和 0--1 规划；再区分单目标与多目标、确定性与随机性。,已覆盖
优化模型,目标分类,多目标规划,组员1,232,规划、混合整数线性规划和 0--1 规划；再区分单目标与多目标、确定性与随机性。,已覆盖
优化模型,不确定性分类,随机规划,组员1,277,分布可用随机规划或 Monte Carlo，只有区间信息时优先稳健情景；动态图路径与,已覆盖
优化模型,不确定性分类,确定规划,组员1,232,规划、混合整数线性规划和 0--1 规划；再区分单目标与多目标、确定性与随机性。,已覆盖
智能优化,基础算法,GA,组员1,238,智能优化覆盖遗传算法、粒子群、模拟退火、蚁群、差分进化和贪心基线，以及,已覆盖
智能优化,基础算法,PSO,组员1,238,智能优化覆盖遗传算法、粒子群、模拟退火、蚁群、差分进化和贪心基线，以及,已覆盖
智能优化,基础算法,SA,组员1,238,智能优化覆盖遗传算法、粒子群、模拟退火、蚁群、差分进化和贪心基线，以及,已覆盖
智能优化,基础算法,ACO,组员1,238,智能优化覆盖遗传算法、粒子群、模拟退火、蚁群、差分进化和贪心基线，以及,已覆盖
智能优化,基础算法,DE,组员1,238,智能优化覆盖遗传算法、粒子群、模拟退火、蚁群、差分进化和贪心基线，以及,已覆盖
智能优化,基础算法,贪心算法,组员1,238,智能优化覆盖遗传算法、粒子群、模拟退火、蚁群、差分进化和贪心基线，以及,已覆盖
智能优化,多目标优化,NSGA-II,组员1,239,NSGA-II、MOPSO。思维导图中的鲸鱼优化、麻雀搜索、蛾火焰优化作为受控对照：,已覆盖
智能优化,多目标优化,MOPSO,组员1,239,NSGA-II、MOPSO。思维导图中的鲸鱼优化、麻雀搜索、蛾火焰优化作为受控对照：,已覆盖
智能优化,新型元启发,MFO,组员1,239,NSGA-II、MOPSO。思维导图中的鲸鱼优化、麻雀搜索、蛾火焰优化作为受控对照：,已覆盖
智能优化,新型元启发,WOA,组员1,239,NSGA-II、MOPSO。思维导图中的鲸鱼优化、麻雀搜索、蛾火焰优化作为受控对照：,已覆盖
智能优化,新型元启发,SSA,组员1,239,NSGA-II、MOPSO。思维导图中的鲸鱼优化、麻雀搜索、蛾火焰优化作为受控对照：,已覆盖
图与网络,最短路径,Dijkstra,组员1,243,图论部分覆盖 Dijkstra、Floyd、SPFA，Prim、Kruskal，最大流、最小费用流、,已覆盖
图与网络,最短路径,Floyd,组员1,243,图论部分覆盖 Dijkstra、Floyd、SPFA，Prim、Kruskal，最大流、最小费用流、,已覆盖
图与网络,最短路径,SPFA,组员1,243,图论部分覆盖 Dijkstra、Floyd、SPFA，Prim、Kruskal，最大流、最小费用流、,已覆盖
图与网络,最小生成树,Prim,组员1,243,图论部分覆盖 Dijkstra、Floyd、SPFA，Prim、Kruskal，最大流、最小费用流、,已覆盖
图与网络,最小生成树,Kruskal,组员1,243,图论部分覆盖 Dijkstra、Floyd、SPFA，Prim、Kruskal，最大流、最小费用流、,已覆盖
图与网络,网络流,最大流,组员1,243,图论部分覆盖 Dijkstra、Floyd、SPFA，Prim、Kruskal，最大流、最小费用流、,已覆盖
图与网络,网络流,最小费用流,组员1,243,图论部分覆盖 Dijkstra、Floyd、SPFA，Prim、Kruskal，最大流、最小费用流、,已覆盖
图与网络,其他,路径规划,组员1,244,路径规划、二分图匹配和节点重要性。稀疏非负边单源问题优先 Dijkstra；全源且,已覆盖
图与网络,其他,二分图匹配,组员1,244,路径规划、二分图匹配和节点重要性。稀疏非负边单源问题优先 Dijkstra；全源且,已覆盖
图与网络,其他,网络节点重要度,组员1,244,路径规划、二分图匹配和节点重要性。稀疏非负边单源问题优先 Dijkstra；全源且,已覆盖
预测与分类,传统时序,ARIMA,组员2,315,"ARIMA、SARIMA、指数平滑、VAR、GM(1,1)、灰色--Markov、Prophet、XGBoost、",已覆盖
预测与分类,传统时序,SARIMA,组员2,315,"ARIMA、SARIMA、指数平滑、VAR、GM(1,1)、灰色--Markov、Prophet、XGBoost、",已覆盖
预测与分类,传统时序,指数平滑,组员2,315,"ARIMA、SARIMA、指数平滑、VAR、GM(1,1)、灰色--Markov、Prophet、XGBoost、",已覆盖
预测与分类,传统时序,VAR,组员2,315,"ARIMA、SARIMA、指数平滑、VAR、GM(1,1)、灰色--Markov、Prophet、XGBoost、",已覆盖
预测与分类,传统时序,"GM(1,1)",组员2,315,"ARIMA、SARIMA、指数平滑、VAR、GM(1,1)、灰色--Markov、Prophet、XGBoost、",已覆盖
预测与分类,传统时序,灰色 Markov,组员2,315,"ARIMA、SARIMA、指数平滑、VAR、GM(1,1)、灰色--Markov、Prophet、XGBoost、",已覆盖
预测与分类,传统时序,长期预测,组员2,318,思维导图中的“Logistic 预测模型”归入二分类模型，不当作连续响应回归；长期预测是,已覆盖
预测与分类,机器学习时序,Prophet,组员2,315,"ARIMA、SARIMA、指数平滑、VAR、GM(1,1)、灰色--Markov、Prophet、XGBoost、",已覆盖
预测与分类,机器学习时序,XGBoost 时序,组员2,313,回归覆盖多元线性、Ridge、Lasso、SVR、随机森林、XGBoost 和 CatBoost；分类覆盖,已覆盖
预测与分类,机器学习时序,LightGBM 时序,组员2,316,LightGBM、BP、RNN、LSTM、TCN 和 GRU。线性/广义线性模型保留可解释基线，树模型,已覆盖
预测与分类,深度学习时序,BP 神经网络,组员2,316,LightGBM、BP、RNN、LSTM、TCN 和 GRU。线性/广义线性模型保留可解释基线，树模型,已覆盖
预测与分类,深度学习时序,RNN,组员2,316,LightGBM、BP、RNN、LSTM、TCN 和 GRU。线性/广义线性模型保留可解释基线，树模型,已覆盖
预测与分类,深度学习时序,LSTM,组员2,316,LightGBM、BP、RNN、LSTM、TCN 和 GRU。线性/广义线性模型保留可解释基线，树模型,已覆盖
预测与分类,深度学习时序,TCN,组员2,316,LightGBM、BP、RNN、LSTM、TCN 和 GRU。线性/广义线性模型保留可解释基线，树模型,已覆盖
预测与分类,深度学习时序,GRU,组员2,316,LightGBM、BP、RNN、LSTM、TCN 和 GRU。线性/广义线性模型保留可解释基线，树模型,已覆盖
预测与分类,基础回归,Logistic 预测模型,组员2,318,思维导图中的“Logistic 预测模型”归入二分类模型，不当作连续响应回归；长期预测是,已覆盖
预测与分类,基础回归,多元线性回归,组员2,313,回归覆盖多元线性、Ridge、Lasso、SVR、随机森林、XGBoost 和 CatBoost；分类覆盖,已覆盖
预测与分类,基础回归,Ridge,组员2,313,回归覆盖多元线性、Ridge、Lasso、SVR、随机森林、XGBoost 和 CatBoost；分类覆盖,已覆盖
预测与分类,基础回归,Lasso,组员2,313,回归覆盖多元线性、Ridge、Lasso、SVR、随机森林、XGBoost 和 CatBoost；分类覆盖,已覆盖
预测与分类,机器学习回归,SVR,组员2,313,回归覆盖多元线性、Ridge、Lasso、SVR、随机森林、XGBoost 和 CatBoost；分类覆盖,已覆盖
预测与分类,机器学习回归,随机森林回归,组员2,313,回归覆盖多元线性、Ridge、Lasso、SVR、随机森林、XGBoost 和 CatBoost；分类覆盖,已覆盖
预测与分类,机器学习回归,XGBoost 回归,组员2,313,回归覆盖多元线性、Ridge、Lasso、SVR、随机森林、XGBoost 和 CatBoost；分类覆盖,已覆盖
预测与分类,机器学习回归,CatBoost 回归,组员2,313,回归覆盖多元线性、Ridge、Lasso、SVR、随机森林、XGBoost 和 CatBoost；分类覆盖,已覆盖
预测与分类,传统分类,Logistic 二分类,组员2,178,及多孔介质渗流按偏微分方程处理。人口过程用 Logistic 方程和捕食—被捕食模型，,已覆盖
预测与分类,传统分类,朴素 Bayes,组员2,314,Logistic、朴素 Bayes、SVM、决策树、随机森林、AdaBoost 和 CNN。时间序列覆盖,已覆盖
预测与分类,机器学习分类,SVM,组员2,314,Logistic、朴素 Bayes、SVM、决策树、随机森林、AdaBoost 和 CNN。时间序列覆盖,已覆盖
预测与分类,机器学习分类,决策树,组员2,314,Logistic、朴素 Bayes、SVM、决策树、随机森林、AdaBoost 和 CNN。时间序列覆盖,已覆盖
预测与分类,机器学习分类,随机森林,组员2,313,回归覆盖多元线性、Ridge、Lasso、SVR、随机森林、XGBoost 和 CatBoost；分类覆盖,已覆盖
预测与分类,机器学习分类,AdaBoost,组员2,314,Logistic、朴素 Bayes、SVM、决策树、随机森林、AdaBoost 和 CNN。时间序列覆盖,已覆盖
预测与分类,图像/特征分类,CNN,组员2,314,Logistic、朴素 Bayes、SVM、决策树、随机森林、AdaBoost 和 CNN。时间序列覆盖,已覆盖
实现与检验,编程语言,MATLAB,三人交叉,165,MATLAB/Python、量纲与误差分析以及 A/B/C 题型选型。共享不等于无人负责：公共,已覆盖
实现与检验,编程语言,Python,三人交叉,165,MATLAB/Python、量纲与误差分析以及 A/B/C 题型选型。共享不等于无人负责：公共,已覆盖
实现与检验,误差分析,MAE,三人交叉,328,\item 回归报告 MAE、MSE、RMSE、MAPE，分类报告混淆矩阵及类别不平衡指标；,已覆盖
实现与检验,误差分析,MSE,三人交叉,328,\item 回归报告 MAE、MSE、RMSE、MAPE，分类报告混淆矩阵及类别不平衡指标；,已覆盖
实现与检验,误差分析,RMSE,三人交叉,328,\item 回归报告 MAE、MSE、RMSE、MAPE，分类报告混淆矩阵及类别不平衡指标；,已覆盖
实现与检验,误差分析,MAPE,三人交叉,328,\item 回归报告 MAE、MSE、RMSE、MAPE，分类报告混淆矩阵及类别不平衡指标；,已覆盖
实现与检验,验证方法,K 折交叉验证,三人交叉,327,\item 将预处理与模型封装在同一 pipeline，采用 K 折、留出或滚动窗口验证；,已覆盖
实现与检验,验证方法,留出法,三人交叉,327,\item 将预处理与模型封装在同一 pipeline，采用 K 折、留出或滚动窗口验证；,已覆盖
实现与检验,验证方法,训练集/测试集划分,三人交叉,712,验证与误差 & MAE、MSE、RMSE、MAPE、K 折、留出、训练测试、分组/滚动验证 & 三人交叉 & 划分先于预处理；指标与任务损失一致\\,已覆盖
实现与检验,稳健性,灵敏度分析,三人交叉,163,多目标优化、智能优化、图论、网络优化、仿真及灵敏度分析；组员2主责数据清洗、,已覆盖
实现与检验,稳健性,参数扰动分析,三人交叉,188,\item 进行步长/网格收敛、守恒残差、回代误差和参数扰动检验；,已覆盖
