year,problem,paper,pages,section_sequence,model_chain,model_chain_status,writing_feature,original_position,unconfirmed_pages,摘要,问题分析,模型求解,结果解释,模型检验,灵敏度分析,模型评价,参考文献,附录
2020,C,C170,40,摘要 -> 问题重述 -> 模型建立 -> 问题分析 -> 模型求解 -> 模型假设 -> 符号说明 -> 模型检验 -> 模型评价 -> 参考文献 -> 附录,回归、TOPSIS、0-1、熵权、VAR,已定位,连接词=首先:9、其次:4、进一步:3、由此:1、可知:1、说明:8、相比:1、为了:2、从而:4、因此:16；页行中位数=35.0；段落候选中位数=9.0；图表候选=25；公式行候选=133；标题候选=206,2020/C170.pdf#page=1:line=1,10,p.1,p.3,p.4,未检出（严格 OCR 阈值下不补字）,p.25,未检出（严格 OCR 阈值下不补字）,p.33,p.34,p.35
2020,C,C227,35,摘要 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型评价 -> 改进方案 -> 参考文献,Logistic、XGBoost、回归、聚类、随机森林、多目标、0-1、线性规划、非线性规划、ODE,已定位,连接词=首先:9、由此:1、可知:2、说明:3、验证:2、从而:2、因此:4；页行中位数=40；段落候选中位数=6；图表候选=11；公式行候选=285；标题候选=393,2020/C227.pdf#page=1:line=1,22,p.1,p.2,p.1,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.19,p.19,未检出（严格 OCR 阈值下不补字）
2020,C,C305,53,摘要 -> 附录 -> 改进方案 -> 问题重述 -> 问题分析 -> 模型假设 -> 模型建立 -> 符号说明 -> 结果分析 -> 模型评价 -> 参考文献 -> 模型求解,Logistic、回归、0-1、多目标、ODE、PCA、主成分,已定位,连接词=首先:8、进一步:1、可知:1、说明:5、为了:1、因此:4；页行中位数=49；段落候选中位数=6；图表候选=15；公式行候选=266；标题候选=2032,2020/C305.pdf#page=1:line=1,44,p.1,p.2,p.44,p.11,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.21,p.22,p.1
2021,A,A028,38,摘要 -> 问题重述 -> 问题分析 -> 模型求解 -> 符号说明 -> 模型假设 -> 模型建立 -> 结果分析 -> 模型检验 -> 模型评价 -> 改进方案 -> 参考文献,蒙特卡洛、VAR,已定位,连接词=首先:5、由此:7、可知:8、说明:5、验证:4、从而:3、因此:10；页行中位数=39.0；段落候选中位数=7.5；图表候选=14；公式行候选=370；标题候选=72,2021/A028.pdf#page=1:line=1,14,p.1,p.2,p.2,p.7,p.21,未检出（严格 OCR 阈值下不补字）,p.22,p.23,未检出（严格 OCR 阈值下不补字）
2021,A,A115,35,摘要 -> 模型求解 -> 结果分析 -> 灵敏度分析 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型评价 -> 参考文献 -> 附录,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,连接词=首先:3、可知:4、验证:1、为了:1、因此:9；页行中位数=39；段落候选中位数=6；图表候选=18；公式行候选=362；标题候选=58,2021/A115.pdf#page=1:line=1,17,p.1,p.3,p.1,p.1,未检出（严格 OCR 阈值下不补字）,p.1,p.21,p.22,p.23
2021,A,A217,59,摘要 -> 问题重述 -> 模型建立 -> 符号说明 -> 问题分析 -> 模型求解 -> 结果分析 -> 模型评价 -> 参考文献,蒙特卡洛、PCA、0-1、VAR、ODE,已定位,连接词=首先:8、其次:3、进一步:1、可知:2、验证:1、相比:1、为了:1、从而:5、因此:5；页行中位数=36；段落候选中位数=3；图表候选=12；公式行候选=494；标题候选=2065,2021/A217.pdf#page=1:line=1,38,p.1,p.3,p.8,p.18,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.20,p.20,未检出（严格 OCR 阈值下不补字）
2021,B,B007,45,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型检验 -> 改进方案 -> 模型求解 -> 灵敏度分析 -> 模型评价 -> 参考文献 -> 附录,回归、聚类、0-1、VAR、ODE,已定位,连接词=首先:6、其次:1、进一步:1、可知:2、表明:1、说明:1、验证:1、为了:2、从而:5、因此:20；页行中位数=31；段落候选中位数=7；图表候选=17；公式行候选=137；标题候选=52,2021/B007.pdf#page=1:line=1,17,p.1,p.2,p.20,p.5,p.11,p.22,p.23,p.24,p.25
2021,B,B026,26,模型求解 -> 结果分析 -> 模型建立 -> 模型评价 -> 参考文献 -> 附录 -> 摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明,Logistic、回归,已定位,连接词=首先:7、其次:2、进一步:2、可知:5、说明:2、验证:3、相比:1、为了:1、从而:1、因此:4；页行中位数=36.5；段落候选中位数=8.5；图表候选=16；公式行候选=147；标题候选=226,2021/B026.pdf#page=1:line=1,7,p.11,p.19,p.2,p.2,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.9,p.9,p.10
2021,B,B050,59,摘要 -> 模型建立 -> 问题重述 -> 问题分析 -> 结果分析 -> 模型检验 -> 模型假设 -> 符号说明 -> 模型求解 -> 模型评价 -> 改进方案 -> 参考文献 -> 附录,回归、主成分、线性规划、非线性规划、PDE、ODE、VAR、PCA,已定位,连接词=首先:14、其次:2、进一步:5、说明:6、验证:9、因此:10；页行中位数=37；段落候选中位数=6；图表候选=21；公式行候选=615；标题候选=140,2021/B050.pdf#page=1:line=1,37,p.1,p.2,p.7,p.3,p.4,未检出（严格 OCR 阈值下不补字）,p.26,p.26,p.27
2021,B,B160,28,模型求解 -> 问题重述 -> 问题分析 -> 结果分析 -> 模型假设 -> 模型建立 -> 符号说明 -> 模型评价 -> 改进方案 -> 参考文献 -> 附录,回归、ODE,已定位,连接词=首先:7、其次:2、可知:1、说明:6、验证:2、相比:1、为了:3、因此:19；页行中位数=34.0；段落候选中位数=7.5；图表候选=24；公式行候选=102；标题候选=96,2021/B160.pdf#page=1:line=1,8,未检出（严格 OCR 阈值下不补字）,p.3,p.1,p.3,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.20,p.21,p.22
2021,C,C006,60,摘要 -> 模型建立 -> 模型评价 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 参考文献 -> 模型求解 -> 结果分析 -> 灵敏度分析 -> 改进方案 -> 附录,多目标、遗传算法、TOPSIS、VAR、回归、Logistic、ODE,已定位,连接词=首先:7、进一步:10、可知:2、表明:2、说明:4、相比:1、为了:2、从而:1、因此:10；页行中位数=40.0；段落候选中位数=7.0；图表候选=13；公式行候选=678；标题候选=78,2021/C006.pdf#page=1:line=1,20,p.1,p.2,p.9,p.9,未检出（严格 OCR 阈值下不补字）,p.21,p.1,p.5,p.29
2021,C,C085,56,摘要 -> 问题重述 -> 问题分析 -> 模型求解 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型评价 -> 灵敏度分析 -> 参考文献 -> 附录,0-1、整数规划、TOPSIS、ODE、RNN,已定位,连接词=首先:6、其次:2、说明:4、相比:1、因此:6；页行中位数=40.0；段落候选中位数=3.5；图表候选=15；公式行候选=603；标题候选=88,2021/C085.pdf#page=1:line=1,50,p.1,p.2,p.3,p.7,未检出（严格 OCR 阈值下不补字）,p.22,p.22,p.23,p.28
2021,C,C169,51,摘要 -> 模型求解 -> 结果分析 -> 问题重述 -> 问题分析 -> 符号说明 -> 模型建立 -> 附录,0-1、多目标、整数规划、粒子群、线性规划、遗传算法、MOPSO、VAR,已定位,连接词=首先:4、其次:1、进一步:1、由此:2、可知:2、表明:2、说明:8、相比:1、为了:12、从而:7、因此:8；页行中位数=38；段落候选中位数=5；图表候选=10；公式行候选=654；标题候选=148,2021/C169.pdf#page=1:line=1,31,p.1,p.2,p.1,p.1,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.27
2021,C,C283,58,摘要 -> 模型求解 -> 问题重述 -> 符号说明 -> 问题分析 -> 参考文献 -> 附录 -> 模型建立 -> 结果分析 -> 灵敏度分析 -> 模型评价,多目标、层次分析、VAR,已定位,连接词=首先:9、进一步:1、可知:3、表明:3、说明:2、验证:3、相比:1、为了:2、因此:1；页行中位数=41.5；段落候选中位数=3.0；图表候选=8；公式行候选=488；标题候选=91,2021/C283.pdf#page=1:line=1,51,p.1,p.4,p.1,p.18,未检出（严格 OCR 阈值下不补字）,p.18,p.26,p.4,p.9
2022,A,A001,37,摘要 -> 模型检验 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 改进方案 -> 参考文献 -> 附录,微分方程、龙格库塔、遗传算法、ODE、NSGA,已定位,连接词=首先:2、其次:2、进一步:2、可知:1、说明:2、验证:2、为了:1、从而:1、因此:2；页行中位数=30；段落候选中位数=6；图表候选=9；公式行候选=392；标题候选=61,2022/A001.pdf#page=1:line=1,28,p.1,p.2,p.1,p.8,p.1,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.23,p.24
2022,A,A022,30,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 结果分析 -> 模型检验 -> 模型评价 -> 改进方案 -> 参考文献 -> 附录,ODE、微分方程、0-1,已定位,连接词=首先:6、由此:1、可知:2、验证:1、从而:2、因此:7；页行中位数=33.0；段落候选中位数=5.5；图表候选=11；公式行候选=282；标题候选=289,2022/A022.pdf#page=1:line=1,24,p.1,p.3,p.6,p.12,p.16,未检出（严格 OCR 阈值下不补字）,p.19,p.20,p.21
2022,A,A171,57,摘要 -> 问题重述 -> 问题分析 -> 模型检验 -> 模型求解 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型评价 -> 改进方案 -> 参考文献,微分方程、龙格库塔、0-1、VAR、ODE,已定位,连接词=首先:5、进一步:3、由此:1、验证:8、为了:2、因此:11；页行中位数=32；段落候选中位数=1；图表候选=10；公式行候选=736；标题候选=112,2022/A171.pdf#page=1:line=1,51,p.1,p.2,p.3,未检出（严格 OCR 阈值下不补字）,p.3,未检出（严格 OCR 阈值下不补字）,p.22,p.22,未检出（严格 OCR 阈值下不补字）
2022,B,B030,42,摘要 -> 模型假设 -> 模型求解 -> 问题重述 -> 问题分析 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型评价 -> 参考文献,遗传算法、ODE,已定位,连接词=首先:5、进一步:1、可知:1、说明:2、从而:1；页行中位数=30.0；段落候选中位数=6.5；图表候选=15；公式行候选=323；标题候选=54,2022/B030.pdf#page=1:line=1,31,p.1,p.3,p.1,p.11,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.25,p.26,未检出（严格 OCR 阈值下不补字）
2022,B,B035,41,摘要 -> 模型检验 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 附录 -> 模型评价 -> 参考文献,ODE,已定位,连接词=首先:3、可知:1、说明:1、为了:2、从而:1、因此:5；页行中位数=30；段落候选中位数=5；图表候选=17；公式行候选=222；标题候选=35,2022/B035.pdf#page=1:line=1,19,p.1,p.3,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.1,未检出（严格 OCR 阈值下不补字）,p.22,p.23,p.20
2022,B,B086,32,摘要 -> 模型检验 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,0-1,已定位,连接词=首先:7、其次:5、可知:1、表明:1、说明:2、验证:3、为了:5、从而:3、因此:4；页行中位数=35.5；段落候选中位数=9.0；图表候选=29；公式行候选=169；标题候选=82,2022/B086.pdf#page=1:line=1,23,p.1,p.2,p.6,p.17,p.1,未检出（严格 OCR 阈值下不补字）,p.25,p.26,p.27
2022,C,C155,41,摘要 -> 结果分析 -> 灵敏度分析 -> 问题重述 -> 模型建立 -> 符号说明 -> 问题分析 -> 参考文献 -> 附录,聚类、灰色关联、回归、VAR、灰色预测,已定位,连接词=首先:6、其次:2、进一步:1、可知:10、表明:3、说明:7、验证:2、相比:2、为了:3、因此:16；页行中位数=34；段落候选中位数=6；图表候选=34；公式行候选=228；标题候选=113,2022/C155.pdf#page=1:line=1,33,p.1,p.3,未检出（严格 OCR 阈值下不补字）,p.1,未检出（严格 OCR 阈值下不补字）,p.1,未检出（严格 OCR 阈值下不补字）,p.29,p.30
2022,C,C229,26,摘要 -> 问题重述 -> 灵敏度分析 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型检验 -> 模型评价 -> 参考文献 -> 附录,交叉验证、回归、聚类、主成分、VAR、K-Means、ODE,已定位,连接词=首先:14、其次:3、进一步:8、可知:2、表明:2、说明:1、验证:14、相比:1、为了:1、因此:7；页行中位数=32.0；段落候选中位数=6.0；图表候选=60；公式行候选=70；标题候选=86,2022/C229.pdf#page=1:line=1,9,p.1,p.2,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.12,p.2,p.19,p.20,p.21
2023,A,A0127,58,摘要 -> 结果分析 -> 附录 -> 模型建立 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 参考文献 -> 模型求解 -> 灵敏度分析 -> 模型评价,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,连接词=首先:9、其次:5、进一步:3、由此:1、可知:1、说明:3、为了:2、从而:2、因此:17；页行中位数=44.0；段落候选中位数=6.0；图表候选=44；公式行候选=624；标题候选=263,2023/A0127.pdf#page=1:line=1,21,p.1,p.2,p.19,p.1,未检出（严格 OCR 阈值下不补字）,p.25,p.27,p.8,p.1
2023,A,A0165,45,摘要 -> 模型评价 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 附录 -> 结果分析 -> 模型检验 -> 参考文献,蒙特卡洛,已定位,连接词=首先:4、进一步:2、可知:2、表明:1、说明:8、验证:2、为了:3、从而:6、因此:9；页行中位数=35；段落候选中位数=6；图表候选=17；公式行候选=423；标题候选=246,2023/A0165.pdf#page=1:line=1,18,p.1,p.3,p.12,p.14,p.22,未检出（严格 OCR 阈值下不补字）,p.1,p.25,p.14
2023,A,A0175,39,摘要 -> 灵敏度分析 -> 问题分析 -> 模型建立 -> 模型假设 -> 符号说明 -> 模型求解 -> 结果分析 -> 模型评价 -> 改进方案 -> 参考文献 -> 附录,蒙特卡洛,已定位,连接词=首先:13、进一步:6、表明:2、说明:2、为了:3、从而:4、因此:14；页行中位数=31；段落候选中位数=5；图表候选=14；公式行候选=420；标题候选=46,2023/A0175.pdf#page=1:line=1,18,p.1,p.2,p.12,p.14,未检出（严格 OCR 阈值下不补字）,p.1,p.21,p.21,p.22
2023,A,A092,53,摘要 -> 问题重述 -> 模型假设 -> 符号说明 -> 问题分析 -> 模型建立 -> 模型求解 -> 结果分析 -> 模型检验 -> 模型评价 -> 参考文献 -> 附录,蒙特卡洛、遗传算法、回归,已定位,连接词=首先:5、进一步:7、由此:1、可知:5、说明:3、验证:1、为了:9、从而:6、因此:22；页行中位数=38；段落候选中位数=6；图表候选=41；公式行候选=496；标题候选=68,2023/A092.pdf#page=1:line=1,35,p.1,p.3,p.16,p.17,p.19,未检出（严格 OCR 阈值下不补字）,p.32,p.33,p.34
2023,B,B226,51,摘要 -> 结果分析 -> 模型求解 -> 灵敏度分析 -> 问题重述 -> 问题分析 -> 模型建立 -> 模型假设 -> 符号说明 -> 模型评价 -> 模型检验 -> 参考文献 -> 附录,模拟退火、粒子群、0-1,已定位,连接词=首先:8、其次:4、进一步:1、由此:2、可知:2、说明:2、验证:5、相比:1、为了:4、从而:2、因此:10；页行中位数=39；段落候选中位数=6；图表候选=20；公式行候选=482；标题候选=95,2023/B226.pdf#page=1:line=1,26,p.1,p.2,p.1,p.1,p.25,p.1,p.25,p.26,p.27
2023,B,B311,34,摘要 -> 结果分析 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 模型评价 -> 参考文献 -> 附录,多目标,已定位,连接词=首先:4、进一步:2、由此:1、验证:4、相比:1、为了:2、从而:2；页行中位数=38.0；段落候选中位数=2.5；图表候选=15；公式行候选=385；标题候选=166,2023/B311.pdf#page=1:line=1,22,p.1,p.2,p.10,p.1,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.17,p.17,p.18
2023,B,B477,50,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,最短路、随机森林、回归、支持向量、ODE,已定位,连接词=首先:8、由此:1、可知:2、说明:4、相比:2、为了:5、从而:1、因此:4；页行中位数=53.0；段落候选中位数=1.0；图表候选=23；公式行候选=581；标题候选=1169,2023/B477.pdf#page=1:line=1,32,p.1,p.2,p.7,p.9,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.20,p.20,p.21
2023,C,C050,44,摘要 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型建立 -> 模型假设 -> 符号说明 -> 结果分析 -> 模型评价 -> 改进方案 -> 附录,K-Means、回归、聚类、模拟退火、灰色关联、线性规划、0-1、RNN,已定位,连接词=首先:13、其次:2、进一步:1、由此:2、可知:3、表明:1、说明:2、验证:1、为了:1、从而:1、因此:3；页行中位数=41.0；段落候选中位数=8.5；图表候选=20；公式行候选=281；标题候选=925,2023/C050.pdf#page=1:line=1,11,p.1,p.2,p.1,p.13,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.26,未检出（严格 OCR 阈值下不补字）,p.27
2023,C,C126,74,摘要 -> 问题重述 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型检验 -> 模型求解 -> 模型评价 -> 结果分析 -> 参考文献 -> 附录,VAR、回归、ODE,已定位,连接词=首先:2、进一步:4、表明:10、说明:6、从而:1、因此:4；页行中位数=43.0；段落候选中位数=0.0；图表候选=18；公式行候选=139；标题候选=2027,2023/C126.pdf#page=1:line=1,58,p.1,未检出（严格 OCR 阈值下不补字）,p.7,p.11,p.5,未检出（严格 OCR 阈值下不补字）,p.11,p.19,p.20
2023,C,C228,70,摘要 -> 附录 -> 问题重述 -> 问题分析 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型求解 -> 灵敏度分析 -> 参考文献,LSTM、NSGA、线性规划、遗传算法、非线性规划、VIKOR、VAR、回归、ARIMA、粒子群、多目标、0-1、ODE、Prophet,已定位,连接词=首先:5、其次:2、进一步:3、可知:4、表明:1、说明:4、验证:3、为了:1、从而:1、因此:22；页行中位数=37.5；段落候选中位数=6.5；图表候选=33；公式行候选=478；标题候选=282,2023/C228.pdf#page=1:line=1,37,p.1,p.3,p.16,p.9,未检出（严格 OCR 阈值下不补字）,p.28,未检出（严格 OCR 阈值下不补字）,p.30,p.1
2024,A,A016,59,摘要 -> 模型建立 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型求解 -> 模型检验 -> 灵敏度分析 -> 模型评价 -> 参考文献 -> 附录,0-1,已定位,连接词=首先:20、进一步:3、由此:2、可知:2、说明:3、为了:4、因此:17；页行中位数=28；段落候选中位数=7；图表候选=21；公式行候选=453；标题候选=66,2024/A016.pdf#page=1:line=1,47,p.1,p.3,p.10,未检出（严格 OCR 阈值下不补字）,p.30,p.30,p.31,p.32,p.33
2024,A,A053,62,摘要 -> 结果分析 -> 灵敏度分析 -> 问题重述 -> 符号说明 -> 问题分析 -> 模型建立 -> 模型求解 -> 模型检验 -> 模型评价 -> 参考文献,粒子群,已定位,连接词=首先:16、进一步:1、表明:3、说明:5、验证:4、为了:4、因此:8；页行中位数=33.0；段落候选中位数=5.5；图表候选=28；公式行候选=568；标题候选=40,2024/A053.pdf#page=1:line=1,53,p.1,p.3,p.7,p.1,p.28,p.1,p.42,p.42,未检出（严格 OCR 阈值下不补字）
2024,A,A163,44,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型评价 -> 参考文献 -> 附录,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,连接词=首先:8、进一步:1、由此:6、说明:3、从而:3、因此:7；页行中位数=28.0；段落候选中位数=8.0；图表候选=22；公式行候选=488；标题候选=69,2024/A163.pdf#page=1:line=1,34,p.1,p.4,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.28,p.29,p.29
2024,A,A178,48,摘要 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型检验 -> 模型评价 -> 参考文献 -> 附录,微分方程、ODE,已定位,连接词=首先:11、可知:1、表明:1、说明:4、验证:3、为了:1、从而:1、因此:6；页行中位数=35.5；段落候选中位数=4.0；图表候选=16；公式行候选=506；标题候选=180,2024/A178.pdf#page=1:line=1,40,p.1,p.2,p.1,p.6,p.18,未检出（严格 OCR 阈值下不补字）,p.19,p.20,p.21
